ID;academic_secondary
10101;8,38
10201;4,64
10301;5,58
10302;5,73
10303;4,77
10304;6,56
10305;4,72
10306;3,33
10307;4
10308;5,77
10309;5,79
10310;3,13
10311;6,34
10312;6
10313;4,03
10314;6,48
10315;6,38
10316;5,75
10317;6,57
10318;6,54
10319;7,17
10320;8,1
10321;4,41
10322;7,82
10323;5,01
10401;3,55
10402;4,99
10403;5,82
10404;5,39
10405;6,79
10406;6,13
10407;4,93
10408;5,23
10409;4,67
10410;3,25
10411;3,49
10412;4,52
10413;5,52
10414;5,31
10415;6,09
10416;5,8
10417;6,37
10418;2,74
10419;5,97
10420;6,52
10421;6,25
10422;3,15
10424;4,55
10425;1,41
10426;5,68
10427;3,45
10428;6,5
10501;5,78
10502;7,1
10503;4,08
10504;6,26
10505;5,57
10506;5,65
10507;3,76
10508;5,38
10509;4,74
10510;5,11
10511;5,65
10512;2,09
10601;6,37
10602;4,75
10603;6,1
10604;4,03
10605;5,56
10606;5,65
10607;6,03
10608;5,36
10609;5,75
10610;5,16
10611;7,97
10612;5,58
10613;4,62
10614;8,43
10615;5,88
10616;4,8
10617;5,98
10618;5,79
10619;2,99
10701;3,03
10702;3,13
10703;6,59
10704;4,37
10705;4,22
10706;4,23
10707;4,75
10708;3,83
10709;4,68
10710;6,19
10711;8,07
10712;4,05
10713;8,26
10714;6,5
10715;4,99
10716;2,57
10717;5,84
10718;5,54
10719;5,19
10720;5,05
10721;4,13
10722;6,9
10723;4,85
10724;6
10725;3,63
10726;8,16
10727;5,09
10801;4,98
10802;6,76
10803;7,08
10804;5,45
10805;3,18
10806;5,68
10807;4,82
10808;4,79
10809;4,62
10810;9,6
10811;4,12
10812;5,78
10813;4,46
10814;3,4
10815;4,83
10816;6,67
10817;5,63
10818;4,7
10819;4,66
10820;4,95
10821;5,35
10822;3,7
10823;3,67
10824;4,11
10825;3,93
10826;3,38
10827;4,47
10828;1,74
10901;7,09
10902;5,36
10903;4,67
10904;2,18
10905;6,01
10906;5,3
10907;4,65
10908;5,18
10909;4,94
10910;2,88
10911;5,25
10912;4,57
10913;3,69
10914;2,68
10915;2,54
10916;6,36
10917;6,11
10918;4,93
10919;3,73
10920;4,77
10921;4,86
10922;10
10923;3,7
10924;3,81
10925;6,95
10926;3,99
10927;2,06
10928;3,39
10929;1,68
10930;4,78
10931;2,65
10932;4,41
20101;7
20201;5,26
20302;3,47
20305;5,29
20306;3,13
20307;4,36
20316;4,65
20320;4,55
20321;1,59
20402;5,43
20403;5,12
20405;4,78
20409;3,86
20412;5,41
20414;5,36
20415;8,19
20416;6,22
20417;6,65
20418;6,7
20419;6,47
20421;4,33
20424;7,18
20425;4,28
20428;3,54
20432;4,26
20435;5,48
20441;7,23
20442;4,56
20501;4,36
20502;3,51
20503;2,37
20504;3,35
20505;4,08
20506;3,49
20508;3,11
20509;3,05
20511;3,38
20512;3,02
20513;3,1
20515;3,45
20518;2,71
20519;4,2
20520;3,56
20523;4,07
20527;4,96
20530;4,48
20531;3,09
20534;4,57
20601;4,75
20602;4,36
20603;3,22
20604;3,33
20605;2,62
20607;2,6
20608;2,99
20609;2,73
20610;3,21
20611;2,74
20613;4,21
20616;3,33
20618;4,33
20619;3,44
20620;5,92
20622;2,18
20624;3,58
20625;4,19
20627;2,95
20630;3,57
20631;1,33
20632;2,71
20633;4,09
20634;5,18
20635;4,72
20636;0,97
20637;3,79
20638;3,59
20639;4,52
20640;1,54
20642;2,71
20643;4,17
20644;2,6
20701;2,55
20702;4,79
20703;3,36
20705;4,42
20707;4,72
20708;3,97
20710;2,64
20711;4,65
20712;4,18
