ID;apprenticeship
10101;24,9
10201;38,94
10301;35,29
10302;35,24
10303;32,74
10304;30,09
10305;32,89
10306;34,8
10307;39,17
10308;29,49
10309;30,15
10310;40,28
10311;32,13
10312;37,36
10313;38,03
10314;28,84
10315;33,49
10316;34,2
10317;30,41
10318;35,68
10319;30,17
10320;38,03
10321;43,17
10322;34,28
10323;29,38
10401;43,03
10402;42,11
10403;31,47
10404;36,8
10405;31,32
10406;30,47
10407;33,5
10408;33,99
10409;38,42
10410;43,09
10411;39,53
10412;37,48
10413;36
10414;31,98
10415;29,42
10416;32,71
10417;35,37
10418;37,9
10419;41,79
10420;32,61
10421;38,07
10422;48,82
10423;51,43
10424;52,27
10425;41,31
10426;38,64
10427;36,02
10428;32
10501;36,78
10502;36,47
10503;42,07
10504;39,47
10505;44,59
10506;41,84
10507;43,17
10508;35,24
10509;41,33
10510;41,36
10511;36,71
10512;47,7
10601;32,32
10602;35,58
10603;40,68
10604;45,43
10605;33,25
10606;32,99
10607;35
10608;29,37
10609;32,83
10610;39,99
10611;28,16
10612;37,81
10613;40,46
10614;28,78
10615;37,02
10616;41,7
10617;31,55
10618;38,21
10619;40,72
10701;34,45
10702;33,12
10703;35,33
10704;43,15
10705;35,26
10706;35,72
10707;27,5
10708;31,47
10709;29,83
10710;31,81
10711;26,63
10712;35,24
10713;25,48
10714;36,65
10715;37,22
10716;35,71
10717;33,94
10718;26,78
10719;33,64
10720;32,18
10721;32,59
10722;26,27
10723;43,34
10724;36,67
10725;27,2
10726;35,28
10727;34,72
10801;33,92
10802;33,24
10803;36,61
10804;36,73
10805;34,39
10806;39,12
10807;41,72
10808;38,34
10809;37,23
10810;35,71
10811;35,7
10812;39,26
10813;35,45
10814;40,41
10815;34,09
10816;30,35
10817;37,3
10818;38,46
10819;36,6
10820;39,78
10821;32,96
10822;36,33
10823;39,87
10824;44,87
10825;39,33
10826;43,94
10827;30,73
10828;34,57
10901;28,03
10902;32,95
10903;36,16
10904;40,33
10905;34,4
10906;33,08
10907;39,27
10908;38,8
10909;40,61
10910;44,95
10911;32,91
10912;35,15
10913;40,37
10914;39,17
10915;42,65
10916;31,48
10917;30,5
10918;36,92
10919;37,85
10920;40,35
10921;36,33
10922;30,26
10923;35,95
10924;33,21
10925;37,29
10926;37,32
10927;44,33
10928;45,58
10929;48,63
10930;34,21
10931;40,4
10932;33,09
20101;27,69
20201;34,67
20302;41,64
20305;39,51
20306;46,64
20307;40,8
20316;47,61
20320;43,73
20321;43,49
20402;41,11
20403;36,54
20405;36,04
20409;41,9
20412;36,14
20414;37,61
20415;21,56
20416;39,56
20417;32,08
20418;29
20419;26,45
20421;38,55
20424;28,21
20425;40,33
20428;39,8
20432;41,18
20435;42,05
20441;34,91
20442;36,8
20501;42,86
20502;44,64
20503;46,24
20504;40,94
20505;42,21
20506;49,34
20508;43,23
20509;39,32
20511;52,84
20512;42,44
20513;48,89
20515;41,05
20518;42,99
20519;45,7
20520;44,93
20523;36,71
20527;38,26
20530;41,33
20531;50,19
20534;37,61
20601;39,42
20602;52,71
20603;43,63
20604;48,51
20605;50,87
20607;53,59
20608;49,4
20609;47,16
20610;51,9
20611;51,75
20613;46,76
20616;45,11
20618;44,53
20619;52,79
20620;38,46
20622;54,25
20624;45,73
20625;41,11
