ID;BLAND
10101;Burgenland
10201;Burgenland
10301;Burgenland
10302;Burgenland
10303;Burgenland
10304;Burgenland
10305;Burgenland
10306;Burgenland
10307;Burgenland
10308;Burgenland
10309;Burgenland
10310;Burgenland
10311;Burgenland
10312;Burgenland
10313;Burgenland
10314;Burgenland
10315;Burgenland
10316;Burgenland
10317;Burgenland
10318;Burgenland
10319;Burgenland
10320;Burgenland
10321;Burgenland
10322;Burgenland
10323;Burgenland
10401;Burgenland
10402;Burgenland
10403;Burgenland
10404;Burgenland
10405;Burgenland
10406;Burgenland
10407;Burgenland
10408;Burgenland
10409;Burgenland
10410;Burgenland
10411;Burgenland
10412;Burgenland
10413;Burgenland
10414;Burgenland
10415;Burgenland
10416;Burgenland
10417;Burgenland
10418;Burgenland
10419;Burgenland
10420;Burgenland
10421;Burgenland
10422;Burgenland
10423;Burgenland
10424;Burgenland
10425;Burgenland
10426;Burgenland
10427;Burgenland
10428;Burgenland
10501;Burgenland
10502;Burgenland
10503;Burgenland
10504;Burgenland
10505;Burgenland
10506;Burgenland
10507;Burgenland
10508;Burgenland
10509;Burgenland
10510;Burgenland
10511;Burgenland
10512;Burgenland
10601;Burgenland
10602;Burgenland
10603;Burgenland
10604;Burgenland
10605;Burgenland
10606;Burgenland
10607;Burgenland
10608;Burgenland
10609;Burgenland
10610;Burgenland
10611;Burgenland
10612;Burgenland
10613;Burgenland
10614;Burgenland
10615;Burgenland
10616;Burgenland
10617;Burgenland
10618;Burgenland
10619;Burgenland
10701;Burgenland
10702;Burgenland
10703;Burgenland
10704;Burgenland
10705;Burgenland
10706;Burgenland
10707;Burgenland
10708;Burgenland
10709;Burgenland
10710;Burgenland
10711;Burgenland
10712;Burgenland
10713;Burgenland
10714;Burgenland
10715;Burgenland
10716;Burgenland
10717;Burgenland
10718;Burgenland
10719;Burgenland
10720;Burgenland
10721;Burgenland
10722;Burgenland
10723;Burgenland
10724;Burgenland
10725;Burgenland
10726;Burgenland
10727;Burgenland
10801;Burgenland
10802;Burgenland
10803;Burgenland
10804;Burgenland
10805;Burgenland
10806;Burgenland
10807;Burgenland
10808;Burgenland
10809;Burgenland
10810;Burgenland
10811;Burgenland
10812;Burgenland
10813;Burgenland
10814;Burgenland
10815;Burgenland
10816;Burgenland
10817;Burgenland
10818;Burgenland
10819;Burgenland
10820;Burgenland
10821;Burgenland
10822;Burgenland
10823;Burgenland
10824;Burgenland
10825;Burgenland
10826;Burgenland
10827;Burgenland
10828;Burgenland
10901;Burgenland
10902;Burgenland
10903;Burgenland
10904;Burgenland
10905;Burgenland
10906;Burgenland
10907;Burgenland
10908;Burgenland
10909;Burgenland
10910;Burgenland
10911;Burgenland
10912;Burgenland
10913;Burgenland
10914;Burgenland
10915;Burgenland
10916;Burgenland
10917;Burgenland
10918;Burgenland
10919;Burgenland
10920;Burgenland
10921;Burgenland
10922;Burgenland
10923;Burgenland
10924;Burgenland
10925;Burgenland
10926;Burgenland
10927;Burgenland
10928;Burgenland
10929;Burgenland
10930;Burgenland
10931;Burgenland
10932;Burgenland
20101;Carinthia
20201;Carinthia
20302;Carinthia
20305;Carinthia
20306;Carinthia
20307;Carinthia
20316;Carinthia
20320;Carinthia
20321;Carinthia
20402;Carinthia
20403;Carinthia
20405;Carinthia
20409;Carinthia
20412;Carinthia
20414;Carinthia
20415;Carinthia
20416;Carinthia
20417;Carinthia
20418;Carinthia
20419;Carinthia
20421;Carinthia
20424;Carinthia
20425;Carinthia
20428;Carinthia
20432;Carinthia
20435;Carinthia
20441;Carinthia
20442;Carinthia
20501;Carinthia
20502;Carinthia
20503;Carinthia
20504;Carinthia
20505;Carinthia
20506;Carinthia
20508;Carinthia
20509;Carinthia
20511;Carinthia
20512;Carinthia
20513;Carinthia
20515;Carinthia
20518;Carinthia
20519;Carinthia
20520;Carinthia
20523;Carinthia
20527;Carinthia
20530;Carinthia
20531;Carinthia
20534;Carinthia
20601;Carinthia
20602;Carinthia
20603;Carinthia
20604;Carinthia
20605;Carinthia
20607;Carinthia
20608;Carinthia
20609;Carinthia
20610;Carinthia
20611;Carinthia
20613;Carinthia
20616;Carinthia
20618;Carinthia
20619;Carinthia
20620;Carinthia
20622;Carinthia
20624;Carinthia
20625;Carinthia
20627;Carinthia
20630;Carinthia
20631;Carinthia
20632;Carinthia
20633;Carinthia
20634;Carinthia
20635;Carinthia
20636;Carinthia
20637;Carinthia
20638;Carinthia
20639;Carinthia
20640;Carinthia
20642;Carinthia
20643;Carinthia
20644;Carinthia
20701;Carinthia
20702;Carinthia
20703;Carinthia
20705;Carinthia
20707;Carinthia
20708;Carinthia
20710;Carinthia
20711;Carinthia
20712;Carinthia
20713;Carinthia
20719;Carinthia
20720;Carinthia
20721;Carinthia
20722;Carinthia
20723;Carinthia
20724;Carinthia
20725;Carinthia
20726;Carinthia
20727;Carinthia
20801;Carinthia
20802;Carinthia
20803;Carinthia
20804;Carinthia
20805;Carinthia
20806;Carinthia
20807;Carinthia
20808;Carinthia
20810;Carinthia
20812;Carinthia
20813;Carinthia
20815;Carinthia
20817;Carinthia
20901;Carinthia
20905;Carinthia
20909;Carinthia
20911;Carinthia
20912;Carinthia
20913;Carinthia
20914;Carinthia
20918;Carinthia
20923;Carinthia
21001;Carinthia
21002;Carinthia
21003;Carinthia
21004;Carinthia
21005;Carinthia
21006;Carinthia
21007;Carinthia
21008;Carinthia
21009;Carinthia
21010;Carinthia
30101;Lower Austria
30201;Lower Austria
30301;Lower Austria
30401;Lower Austria
30501;Lower Austria
30502;Lower Austria
30503;Lower Austria
30504;Lower Austria
30506;Lower Austria
30507;Lower Austria
30508;Lower Austria
30509;Lower Austria
30510;Lower Austria
30511;Lower Austria
30512;Lower Austria
30514;Lower Austria
30515;Lower Austria
30516;Lower Austria
30517;Lower Austria
30520;Lower Austria
30521;Lower Austria
30522;Lower Austria
30524;Lower Austria
30526;Lower Austria
30527;Lower Austria
30529;Lower Austria
30530;Lower Austria
30531;Lower Austria
30532;Lower Austria
30533;Lower Austria
30534;Lower Austria
30536;Lower Austria
30538;Lower Austria
30539;Lower Austria
30541;Lower Austria
30542;Lower Austria
30543;Lower Austria
30544;Lower Austria
30601;Lower Austria
30602;Lower Austria
30603;Lower Austria
30604;Lower Austria
30605;Lower Austria
30607;Lower Austria
30608;Lower Austria
30609;Lower Austria
30612;Lower Austria
30613;Lower Austria
30614;Lower Austria
30615;Lower Austria
30616;Lower Austria
30618;Lower Austria
30620;Lower Austria
30621;Lower Austria
30623;Lower Austria
30625;Lower Austria
30626;Lower Austria
30627;Lower Austria
30629;Lower Austria
30631;Lower Austria
30633;Lower Austria
30635;Lower Austria
30636;Lower Austria
30637;Lower Austria
30639;Lower Austria
30641;Lower Austria
30645;Lower Austria
30646;Lower Austria
30701;Lower Austria
30702;Lower Austria
30703;Lower Austria
30704;Lower Austria
30706;Lower Austria
30708;Lower Austria
30709;Lower Austria
30710;Lower Austria
30711;Lower Austria
30712;Lower Austria
30713;Lower Austria
30715;Lower Austria
30716;Lower Austria
30718;Lower Austria
30719;Lower Austria
30721;Lower Austria
30722;Lower Austria
30724;Lower Austria
30726;Lower Austria
30728;Lower Austria
30801;Lower Austria
30802;Lower Austria
30803;Lower Austria
30804;Lower Austria
30805;Lower Austria
30808;Lower Austria
30810;Lower Austria
30811;Lower Austria
30812;Lower Austria
30813;Lower Austria
30814;Lower Austria
30817;Lower Austria
30819;Lower Austria
30821;Lower Austria
30822;Lower Austria
30824;Lower Austria
30825;Lower Austria
30826;Lower Austria
30827;Lower Austria
30828;Lower Austria
30829;Lower Austria
30830;Lower Austria
30831;Lower Austria
30834;Lower Austria
30835;Lower Austria
30836;Lower Austria
30838;Lower Austria
30841;Lower Austria
30842;Lower Austria
30844;Lower Austria
30845;Lower Austria
30846;Lower Austria
30848;Lower Austria
30849;Lower Austria
30850;Lower Austria
30852;Lower Austria
30854;Lower Austria
30856;Lower Austria
30857;Lower Austria
30858;Lower Austria
30859;Lower Austria
30860;Lower Austria
30863;Lower Austria
30865;Lower Austria
30902;Lower Austria
30903;Lower Austria
30904;Lower Austria
30906;Lower Austria
30908;Lower Austria
30909;Lower Austria
30910;Lower Austria
30912;Lower Austria
30913;Lower Austria
30915;Lower Austria
30916;Lower Austria
30917;Lower Austria
30920;Lower Austria
30921;Lower Austria
30925;Lower Austria
30929;Lower Austria
30932;Lower Austria
30935;Lower Austria
30939;Lower Austria
30940;Lower Austria
30942;Lower Austria
31001;Lower Austria
31008;Lower Austria
31009;Lower Austria
31014;Lower Austria
31015;Lower Austria
31016;Lower Austria
31018;Lower Austria
31019;Lower Austria
31021;Lower Austria
31022;Lower Austria
31025;Lower Austria
31026;Lower Austria
31028;Lower Austria
31033;Lower Austria
31035;Lower Austria
31036;Lower Austria
31037;Lower Austria
31038;Lower Austria
31041;Lower Austria
31042;Lower Austria
31043;Lower Austria
31051;Lower Austria
31052;Lower Austria
31053;Lower Austria
31101;Lower Austria
