ID;compulsory_education
10101;12,53
10201;12,56
10301;9,87
10302;10,39
10303;11,48
10304;13,97
10305;15,93
10306;10,14
10307;13,59
10308;14,23
10309;15,13
10310;15,23
10311;15,42
10312;12,01
10313;11,64
10314;14,29
10315;17,12
10316;11,56
10317;9,11
10318;12,59
10319;14,15
10320;9,15
10321;14,32
10322;11,31
10323;13,52
10401;17,02
10402;16,46
10403;19,18
10404;18,3
10405;20,36
10406;20,04
10407;25,12
10408;19,23
10409;17,77
10410;23,98
10411;17,57
10412;16,57
10413;12,76
10414;20,19
10415;19,17
10416;20,42
10417;15,34
10418;18,26
10419;15,67
10420;19,57
10421;20,45
10422;16,54
10423;20
10424;15,15
10425;26,29
10426;13,64
10427;18,77
10428;20
10501;16,31
10502;18,23
10503;20,82
10504;18,65
10505;17,87
10506;19,71
10507;18,61
10508;15,25
10509;16,61
10510;18
10511;20,24
10512;16,32
10601;17,91
10602;11,82
10603;13,9
10604;15,19
10605;14,15
10606;16,92
10607;17,6
10608;8,62
10609;10,72
10610;16,75
10611;11,7
10612;14,34
10613;15,75
10614;11,76
10615;13,15
10616;14,41
10617;16,91
10618;11,72
10619;12,87
10701;21,53
10702;17,15
10703;13,71
10704;14,87
10705;17,82
10706;16,52
10707;13,07
10708;12,59
10709;12,84
10710;8,9
10711;13,79
10712;15,87
10713;11,54
10714;16,24
10715;12,1
10716;19,25
10717;18,44
10718;10,33
10719;14,49
10720;20,19
10721;21,8
10722;7,67
10723;12,65
10724;16,01
10725;17,62
10726;16,62
10727;14,35
10801;14,47
10802;12,97
10803;11,74
10804;16,76
10805;17,24
10806;12,62
10807;13,15
10808;15,81
10809;15,13
10810;10,49
10811;16,98
10812;11,7
10813;15,05
10814;13,41
10815;14,18
10816;17,62
10817;13,71
10818;12,18
10819;14,45
10820;9,68
10821;11,41
10822;12,95
10823;14,06
10824;12,9
10825;14,89
10826;16,62
10827;21,79
10828;13,48
10901;10,07
10902;12,92
10903;19,72
10904;13,9
10905;16,89
10906;15,91
10907;15,32
10908;19,04
10909;14,97
10910;19,66
10911;16,53
10912;12,81
10913;17,94
10914;16,91
10915;16,88
10916;14,57
10917;17,93
10918;16,3
10919;18,86
10920;16,63
10921;13,12
10922;19,23
10923;19,22
10924;11,8
10925;18,83
10926;15,02
10927;11,93
10928;9,21
10929;12,42
10930;17,22
10931;17,22
10932;13,97
20101;17,99
20201;16,47
20302;10,09
20305;10,66
20306;8,09
20307;10,03
20316;6,41
20320;10,5
20321;7,94
20402;13,13
20403;13,3
20405;16,42
20409;10,27
20412;9,54
20414;10,36
20415;9,41
20416;9,74
20417;9,12
20418;9,57
20419;9,53
20421;8,79
20424;11,47
20425;9
20428;10,79
20432;11,38
20435;11,05
20441;9,12
20442;10,18
20501;17,9
20502;15,76
20503;19,14
20504;15,07
20505;11,93
20506;10,7
20508;14,46
20509;12,82
20511;14,73
20512;12,1
20513;13,61
20515;11,87
20518;10,12
20519;14,81
20520;11,92
20523;10,68
20527;18,32
20530;13,94
20531;11,52
20534;7,74
20601;14,9
20602;10,27
20603;9,37
20604;10,94
20605;10,64
20607;10,53
20608;9,1
20609;13,1
20610;7,62
20611;8,03
20613;5,5
20616;8,84
20618;7,89
20619;10,32
20620;8,45
20622;11,98
20624;11,53
20625;14,43
20627;11,2
20630;11,7
20631;12,15
20632;8,65
20633;14,32
20634;9,35
20635;16,78
20636;13,24
20637;13,36
20638;11,66
20639;6,28
20640;12,33
20642;11,31
20643;7,57
20644;9,24
20701;9,4
20702;13,98
20703;8,53
20705;14,37
20707;8,81
20708;9,31
20710;8,11
20711;10,52
20712;5,22
20713;8,3
20719;7,14
20720;10,78
20721;8,76
20722;11,62
20723;7,66
20724;11,85
20725;10,57
20726;7,74
20727;8,84
20801;15,07
20802;7,21
20803;11,99
20804;15,31
20805;11,29
20806;9,26
20807;11,94
20808;12,04
20810;10,68
20812;12,37
20813;12,28
20815;11,01
20817;12,98
20901;13,22
20905;20,64
20909;16,56
20911;9,8
20912;12,07
20913;13,17
20914;11,99
20918;13,03
20923;14,23
21001;11
21002;14,15
21003;15,15
21004;9,52
21005;10,64
21006;10,55
21007;12,24
21008;14,1
21009;10,79
21010;12,5
30101;21,84
30201;22,27
30301;13,08
30401;25,71
30501;10,93
30502;23,92
30503;12,06
30504;15,18
30506;8,62
30507;10,28
30508;15,85
30509;9,84
30510;16,22
30511;12,06
30512;10,87
30514;12,84
30515;8,69
30516;9,2
30517;21,72
30520;11,26
30521;13,86
30522;13,9
30524;11,56
30526;8,42
30527;13,21
30529;11,02
30530;12,47
30531;14,58
30532;13,44
30533;17,48
30534;13,13
30536;13,16
30538;13,71
30539;10,04
30541;11,14
30542;10,71
30543;13,89
30544;10,75
30601;16,01
30602;13,42
30603;17,26
30604;17,58
30605;25,43
30607;16
30608;13,82
30609;8,21
30612;18,91
30613;9,06
30614;8,96
30615;26,31
30616;9
30618;15,43
30620;20,44
30621;16,34
30623;12,31
30625;12,24
30626;18,45
30627;22,16
30629;14,04
30631;16,11
30633;11,11
30635;17,6
30636;15,33
30637;15,36
30639;19,5
30641;16,08
30645;17,5
30646;18,21
30701;10,48
30702;18,28
30703;13,6
30704;17,92
30706;14,02
30708;8,89
30709;15,71
30710;21,32
30711;7,97
30712;8,36
30713;13,66
30715;11,63
30716;20,83
30718;15,01
30719;10,87
30721;11
30722;8,83
30724;14,25
30726;13,11
30728;14,42
30729;22,03
30730;17,42
30731;17,7
30732;13,32
30733;21,27
30734;18,59
30735;12,12
30736;17,08
30737;13,85
30738;10,82
30739;19,34
30740;21,37
30741;17,07
30801;9,57
30802;20
30803;19,7
30804;16,11
30805;14,79
30808;16,21
30810;15,08
30811;17,81
30812;12,9
30813;19
30814;16,39
30817;19,04
30819;18,92
30821;14,13
30822;15
30824;15,07
30825;15,48
30826;15,96
30827;20,57
30828;11,21
30829;11,59
30830;17,6
30831;18,85
30834;28,09
30835;22,24
30836;11,87
30838;17,84
30841;19,3
30842;17,27
30844;16,19
30845;20,67
30846;8,42
30848;19,27
30849;23,04
30850;20,12
30852;15,25
30854;12,11
30856;17,68
30857;14,52
30858;15,89
30859;13,06
30860;16,61
30863;16,56
30865;18,52
30902;15,2
30903;19,75
30904;18,82
30906;17,49
30908;23,29
30909;13,58
30910;14,73
30912;11,6
30913;14,43
30915;14,98
30916;19,18
30917;11,82
30920;13,82
30921;18,82
30925;16,83
30929;14,71
30932;15,01
30935;21,39
30939;13,22
30940;14,6
30942;13,35
31001;16,79
31008;14,03
31009;13,11
31014;16,03
31015;18,32
31016;14,04
31018;21,1
31019;15,29
31021;15,81
31022;16,31
31025;15,41
31026;11,26
31028;15,83
31033;18,28
31035;11,85
31036;14,95
31037;20,2
31038;15,75
31041;12,42
31042;18,83
31043;13,2
31051;14,26
31052;15,35
31053;15,34
31101;8,2
31102;9,98
31103;12,72
31104;12,06
31105;14,26
31106;9,89
31107;10,76
31109;16,1
31110;14,87
31111;11,08
31113;11,08
31114;10,74
31117;11,05
31119;7,92
31120;12,65
31121;15,61
31123;9,74
31124;12,49
31129;11,93
31130;12,5
31201;7,75
31202;5,62
31203;12,73
31204;9,98
31205;10,24
31206;11,87
31207;8,03
31208;10,37
31213;15,51
31214;8,39
31215;8,33
31216;10,44
31224;10,85
31226;11,24
31227;12,79
31228;10,86
31229;7,58
31230;17,09
31234;9,47
31235;12,9
31301;10,23
31302;12,38
31303;8,91
31304;10,34
31308;13,18
31309;11,91
31310;14,41
31311;13,06
31315;14,08
31319;11,37
31321;11,72
31322;12,63
31323;10,89
31324;13,97
31326;10,79
31327;11,62
31330;14,62
31333;11,53
31336;13,56
31337;13,61
31338;9,69
31340;13,98
31343;15,06
31344;9,86
31346;13,47
31347;9,3
31350;13,15
31351;7,85
31355;10,73
31356;8,08
31401;6,67
31402;13,89
31403;17,63
31404;16,97
31405;10,63
31406;15,85
31407;19,73
31408;8,79
31409;13,78
31410;11,18
31411;12,89
31412;13,7
31413;30,57
31414;15,84
31502;9,02
31503;11,16
31504;13,97
31505;18,79
31506;15,72
31507;11,09
31508;12,28
31509;24,88
31511;12,84
31513;9,76
31514;12,13
31515;10,07
31516;13,74
31517;16,05
31519;12,14
31520;16,9
31521;13,82
31522;12,8
31523;14,67
31524;16,5
31525;16,77
31527;15,47
31528;11,92
31530;13,61
31531;16,21
31533;18,66
31534;15,93
31535;14,01
31537;13,35
31539;13,11
31540;12,53
31541;15,9
31542;11,81
31543;10,5
31546;16,47
31549;22
31550;8,31
31551;12,71
31552;13,4
31553;9,37
31601;18,59
31603;15,26
31604;17,17
31605;15,93
31606;14,19
31608;7,69
31609;12,16
31611;10,49
31612;12,59
31613;10,7
31614;11,12
31615;15,37
31616;17,64
31617;11,84
31620;22,81
31621;13,92
31622;10,63
31627;9,3
31628;9,42
31629;16,26
31630;11,73
31633;14,05
31634;16,77
31636;9,92
31642;7,46
31644;16,99
31645;20,21
31646;18,94
31649;12,05
31650;14,22
31651;10,97
31652;10,36
31653;13,67
31654;15,26
31655;10,98
31658;13,64
31701;11,82
31702;9,93
31703;9,51
31704;11,67
31706;6,52
31707;6,13
31709;8,99
31710;16,07
31711;9,68
31712;8,98
31713;12,03
31714;8,11
31715;13,59
31716;10,79
31717;13,55
31718;10,05
31719;7,61
31723;14,88
31725;14,49
31726;9,01
31801;12,63
31802;11,31
31803;12,89
31804;10,63
31805;15,79
31806;8,76
31807;14
31808;10,88
31809;9,63
31810;20,45
31811;12,19
31812;12,48
31813;18,02
31814;10,19
31815;17,12
31817;9,78
31818;28,23
31820;13,23
31821;14,8
31823;11,54
31825;10,25
31826;11,29
31827;8,7
31829;14,12
31830;12,86
31831;10,53
31832;9,12
31833;16,05
31834;11,47
31835;14,01
31836;17,46
31837;8,61
31838;14,29
31839;21,13
31840;11,95
31841;16,17
31842;9,41
31843;12,07
31844;8,14
31845;7,94
31846;28,79
31847;9,32
31848;12,36
31849;9,26
31901;13,05
31902;10,61
31903;13,69
31904;10,39
31905;8,61
31906;13,86
31907;8,68
31909;13,68
31910;9,89
31911;12,61
31912;21,99
31913;10,95
31915;9,27
31916;10,22
31917;6,99
31918;13,83
31919;11,32
31920;17,81
31921;8,58
31922;14,25
31923;13,04
31925;10,4
31926;11,9
31927;12,37
31928;10,67
31929;17,25
31930;12,34
31932;12,6
31934;11,61
31935;13,87
31938;11,09
31939;15,05
31940;13,76
31941;12,86
31943;19,08
31945;12,84
31946;9,38
31947;20,11
31948;15,42
31949;10,02
31950;8,66
31951;9,88
31952;11,55
31953;9,04
31954;8,78
32001;13,38
32002;12,09
32003;15,08
32004;11,3
32005;10,8
32006;11,17
32007;20,48
32008;13,78
32009;13,45
32010;13,73
32011;18,15
32012;13,52
32013;12,59
32014;12,01
32015;12,65
32016;21,88
32017;11,72
32018;9,49
32101;15,08
32104;13,09
32106;13,49
32107;12,21
32109;10,15
32110;12,91
32112;12,81
32114;13,69
32115;16,32
32116;9,07
32119;11,92
32120;11,04
32131;13,4
32132;12,18
32134;8,71
32135;15,75
32139;12,49
32140;10,31
32141;20,12
32142;9,36
32143;10,81
32144;9,22
32202;18,91
32203;12,5
32206;16,07
32207;20,17
32209;15,58
32210;13,57
32212;7,68
32214;12,38
32216;12,02
32217;12,7
32219;15,36
32220;12,87
32221;9,25
32222;11,63
32223;16,77
32301;11,1
32302;10,81
32304;27,27
32305;19,03
32306;13,7
32307;22,88
32308;14,82
32309;13,93
32310;11,78
32311;10,62
32312;10,23
32313;7,85
32314;10,65
32315;9,07
32316;13,09
32317;8,29
32318;19,2
32319;16,74
32320;11,32
32321;9,56
32322;9,76
32323;23,09
32324;17,95
32325;9,83
32326;12,82
32327;24,92
32330;19,72
32331;16,46
32332;21,12
32333;11,78
32334;10,24
32335;11,99
32336;12,35
32337;16,48
32338;12,72
32501;18,03
32502;15,44
32503;18,32
32504;14,6
32505;16,49
32506;9,7
32508;15,24
32509;13,83
32511;15,08
32514;12,75
32515;14,18
32516;14,81
32517;12,13
32518;13,7
32519;14,79
32520;14,26
32521;13,28
32522;13,41
32523;17,97
32524;15
32525;13,47
32528;9,59
32529;15,59
32530;11,68
40101;24,3
40201;25,32
40301;30,17
40401;21,08
40402;19,53
40403;17,27
40404;30,74
40405;16,94
40406;16,62
40407;20,36
40408;14,33
40409;18,55
40410;19,26
40411;11,71
40412;17,47
40413;33,09
40414;13,9
40415;22,36
40416;18,25
40417;12,76
