ID;higher_education
10101;26,55
10201;13,82
10301;18,34
10302;15,15
10303;18,59
10304;17,7
10305;12,39
10306;14,07
10307;11,46
10308;20
10309;17,59
10310;11,88
10311;15,71
10312;13,58
10313;15,08
10314;19,44
10315;14,68
10316;18,06
10317;20,95
10318;13,68
10319;17,88
10320;10,21
10321;8,81
10322;14,64
10323;19,2
10401;7,09
10402;8,77
10403;14,22
10404;9,83
10405;16,14
10406;13,91
10407;11,08
10408;12,32
10409;6,46
10410;7,72
10411;8,53
10412;10,73
10413;12,95
10414;12,68
10415;16,05
10416;10,21
10417;11,57
10418;8,22
10419;10,82
10420;15,94
10421;5,11
10422;7,09
10423;2,86
10424;7,58
10425;4,69
10426;13,07
10427;13,41
10428;11
10501;11,65
10502;10,56
10503;9,02
10504;10,53
10505;7,7
10506;7,92
10507;8,12
10508;12,64
10509;11,04
10510;9,73
10511;7,53
10512;7,53
10601;13,05
10602;17,49
10603;10,68
10604;9,61
10605;14,84
10606;17,52
10607;14,24
10608;21,68
10609;18,23
10610;11,65
10611;21,8
10612;11,85
10613;11,85
10614;18,6
10615;14,53
10616;11,57
10617;15,05
10618;14,76
10619;11,98
10701;7,02
10702;11,76
10703;14,4
10704;7,29
10705;10,71
10706;12,68
10707;17,11
10708;14,95
10709;12,84
10710;18,57
10711;20,18
10712;11,35
10713;25,08
10714;12,18
10715;13,31
10716;8,17
10717;12,22
10718;17,72
10719;13,3
10720;11,83
10721;8,04
10722;22,93
10723;12,79
10724;12,49
10725;12,95
10726;9,91
10727;15,74
10801;13,86
10802;11,17
10803;13,64
10804;14,94
10805;13,58
10806;10,09
10807;9,46
10808;8,15
10809;11,5
10810;11,38
10811;9,47
10812;10,96
10813;13,71
10814;11,54
10815;14,78
10816;15,01
10817;10,73
10818;10,47
10819;8,86
10820;11,83
10821;14,23
10822;13,21
10823;9,23
10824;5,57
10825;8,15
10826;6,76
10827;11,17
10828;9,35
10901;21,97
10902;12,57
10903;9,17
10904;7,49
10905;12,69
10906;11,36
10907;9,88
10908;8,19
10909;9,87
10910;5,37
10911;12,72
10912;15,19
10913;5,28
10914;9,37
10915;7,8
10916;19,48
10917;16,37
10918;15,04
10919;9,17
10920;9,53
10921;12,88
10922;15,64
10923;10,44
10924;9,62
10925;8,23
10926;8,92
10927;11,49
10928;10,55
10929;9,05
10930;11,96
10931;5,96
10932;11,76
20101;24,98
20201;19,78
20302;12,15
20305;14,7
20306;9,08
20307;11,58
20316;11,93
20320;11,44
20321;11,9
20402;13,56
20403;14,76
20405;13,93
20409;15,96
20412;23,22
20414;15,95
20415;36,15
20416;17,97
20417;22,34
20418;24,59
20419;34,73
20421;18,22
20424;28,21
20425;13,28
20428;11,8
20432;17,76
20435;16,14
20441;17,61
20442;15,32
20501;11,38
20502;9,67
20503;6,02
20504;9,13
20505;12,24
20506;9,39
20508;8,24
20509;12,82
20511;6,49
20512;12,19
20513;9,07
20515;14,4
20518;10,52
20519;8,23
20520;12,33
20523;17,95
20527;14,38
20530;10,72
20531;9,36
20534;19,06
20601;13,07
20602;7,17
20603;11,27
20604;8,09
20605;8,6
20607;5,8
20608;11,04
20609;9,06
20610;7,41
20611;8,69
20613;9,22
20616;10,6
20618;11,96
20619;7,62
20620;18,5
20622;7,19
20624;7,95
20625;7,72
20627;8,94
20630;10,12
20631;4,97
20632;7,51
20633;9,28
20634;17,43
20635;11,96
20636;4,13
20637;6,92
20638;8,22
20639;15,58
20640;8,94
20642;5,43
20643;12,58
20644;7,89
20701;11,14
20702;10,95
20703;11,19
20705;10,13
20707;12,89
20708;11,38
20710;8,9
20711;18,12
20712;10,9
20713;15,77
20719;14,51
20720;10,26
20721;15,22
20722;12,64
20723;10,32
20724;19,12
20725;18,2
20726;14,91
20727;17,89
20801;11,17
20802;10,1
20803;11,11
20804;9,44
20805;14,27
20806;11,08
20807;9,64
20808;10,5
20810;13,63
20812;8,95
20813;15,72
20815;11,93
20817;13,91
20901;8,68
20905;8,38
20909;6,86
20911;8,16
20912;6,5
20913;8,9
20914;8,67
20918;11,5
20923;13,3
21001;10,8
21002;13,51
21003;12,57
21004;11,82
21005;12,17
21006;26,62
21007;7,07
21008;12,8
21009;17,12
21010;9,29
30101;20,5
30201;17,96
30301;17,88
30401;18,3
30501;13,29
30502;13,9
30503;12,06
30504;12,48
30506;12,9
30507;11,54
30508;11,25
30509;11,48
30510;8,68
30511;11,86
30512;12,85
30514;14,94
30515;13,4
30516;10,73
30517;8,59
30520;13,52
30521;9,35
30522;14,25
30524;7,92
30526;5,86
30527;11,7
30529;12,24
30530;12,94
30531;14,6
30532;14,54
30533;8,92
30534;11,38
30536;10,94
30538;11,27
30539;12,83
30541;16,15
30542;15,14
30543;10,11
30544;11,05
30601;16,87
30602;13,96
30603;23,17
30604;30,36
30605;11,7
30607;14,57
30608;14,52
30609;10,32
30612;8,36
30613;28,92
30614;18,14
30615;9,58
30616;13,14
30618;14,99
30620;13,84
30621;10,8
30623;19,96
30625;28,55
30626;13,31
30627;10,16
30629;9,93
30631;15,22
30633;11,7
30635;21,78
30636;16,19
30637;11,5
30639;14,25
30641;16,08
30645;11,35
30646;9,54
30701;9,9
30702;12,51
30703;17,57
30704;15,26
30706;10,03
30708;15,31
30709;13,38
30710;15,38
30711;16,54
30712;11,67
30713;12,4
30715;13,66
30716;10,46
30718;14,87
30719;13
30721;11,33
30722;16,44
30724;12,91
30726;11,33
30728;15,06
30729;8,66
30730;11,92
30731;16,51
30732;15,29
30733;6,72
30734;14,32
30735;23,74
30736;14,59
30737;16,5
30738;16,34
30739;9,63
30740;11,98
30741;11,52
30801;19,13
30802;17,33
30803;9
30804;13,56
30805;12,31
30808;17,05
30810;9,84
30811;9,15
30812;10,28
30813;9,5
30814;8,5
30817;15,12
30819;9,19
30821;17,12
30822;15
30824;14,4
30825;12,59
30826;5,71
30827;6,78
30828;11,03
30829;11,42
30830;8,83
30831;12,08
30834;11,06
30835;8,83
30836;9,92
30838;11,4
30841;7,89
30842;9,9
30844;10,67
30845;6,56
30846;14,74
30848;10,3
30849;13,09
30850;6,37
30852;11,18
30854;7,72
30856;12,94
30857;12,17
30858;8,91
30859;7,84
30860;13,41
30863;9,71
30865;12,52
30902;7,94
30903;8,43
30904;6,18
30906;3,79
30908;13,26
30909;8,61
30910;8,56
30912;10,54
30913;11,86
30915;5,29
30916;8,1
30917;11,21
30920;11,38
30921;8,68
30925;8,69
30929;6,01
30932;8,43
30935;8,24
30939;10,15
30940;9,44
30942;12,17
31001;4,76
31008;11,44
31009;10,47
31014;7,33
31015;9,26
31016;7,38
31018;7,12
31019;12,1
31021;10,12
31022;17,38
31025;8,85
31026;12,48
31028;10,8
31033;6,4
31035;13,67
31036;11,18
31037;14,92
31038;9,25
31041;10,49
31042;4,85
31043;12,05
31051;11,23
31052;11,74
31053;11,94
31101;12,41
31102;10,41
31103;9,91
31104;13,07
31105;18,79
31106;14,91
31107;8,22
31109;15,71
31110;8,97
31111;6,6
31113;7,2
31114;11,79
31117;11,59
31119;12,83
31120;11,64
31121;7,24
31123;11,27
31124;10,26
31129;11,69
31130;10,5
31201;34,96
31202;18,28
31203;11,34
31204;12,88
31205;16,02
31206;24,18
31207;19,31
31208;14,02
31213;23,2
31214;33,21
31215;20,32
31216;23,96
31224;10,72
31226;15,26
31227;16,28
31228;11,51
31229;18,17
31230;18,91
