ID;higher_vocational_education
10101;12,89
10201;13,33
10301;14,16
10302;14,76
10303;13,99
10304;13,63
10305;14,6
10306;12,56
10307;9,95
10308;15,51
10309;15,64
10310;10,58
10311;15,85
10312;13,46
10313;11,84
10314;12,17
10315;11,38
10316;13,23
10317;14,02
10318;12,78
10319;13,69
10320;14,44
10321;11,01
10322;13,31
10323;13,52
10401;10,17
10402;10,39
10403;10,13
10404;10,98
10405;8,55
10406;9,82
10407;8,37
10408;10,46
10409;13,11
10410;10,16
10411;9,95
10412;10,92
10413;10,67
10414;11,03
10415;9,96
10416;8,35
10417;11,05
10418;13,24
10419;11,94
10420;6,52
10421;11,36
10422;7,09
10423;5,71
10424;8,33
10425;7,98
10426;6,25
10427;8,43
10428;13
10501;10,64
10502;10,56
10503;8,59
10504;7,61
10505;7,21
10506;6,14
10507;8,12
10508;11,5
10509;8,85
10510;7,06
10511;8,24
10512;8,37
10601;11,84
10602;13,47
10603;11,19
10604;10,39
10605;14,58
10606;11,25
10607;11,98
10608;13,99
10609;15,38
10610;11,1
10611;14,33
10612;13,43
10613;10,26
10614;15,74
10615;12,66
10616;10,92
10617;14,43
10618;12,69
10619;13,47
10701;10,69
10702;9,06
10703;13,28
10704;10,79
10705;12,22
10706;11,4
10707;13,42
10708;11,7
10709;13,75
10710;9,99
10711;13,68
10712;12,38
10713;13,58
10714;9,85
10715;14,37
10716;10,74
10717;10,67
10718;17,97
10719;11,84
10720;13,09
10721;10,48
10722;14,98
10723;9,42
10724;10,33
10725;14,51
10726;13,41
10727;10,65
10801;11,73
10802;13,79
10803;10,88
10804;9,64
10805;12,91
10806;11,04
10807;12,68
10808;12,3
10809;12,05
10810;10,49
10811;12,55
10812;13,78
10813;12,15
10814;12,05
10815;13,57
10816;11,38
10817;10,41
10818;12,18
10819;9,79
10820;14,19
10821;14,08
10822;11,76
10823;12,28
10824;9,68
10825;9,27
10826;9,3
10827;12,29
10828;13,26
10901;13,5
10902;14,15
10903;10,73
10904;12,67
10905;11,3
10906;14,9
10907;11,46
10908;10,6
10909;9,39
10910;8,52
10911;11,92
10912;13,51
10913;9,5
10914;12,65
10915;8,71
10916;12,8
10917;11,47
10918;11,86
10919;10,41
10920;8,87
10921;13,24
10922;7,95
10923;10,81
10924;16,88
10925;11,33
10926;10,56
10927;9,13
10928;12,73
10929;12,21
10930;12,68
10931;11,92
10932;11,76
20101;10,87
20201;11,1
20302;11,51
20305;11,1
20306;12,29
20307;13,07
20316;12,19
20320;10,82
20321;10,48
20402;12,12
20403;14,37
20405;12,97
20409;10,62
20412;12,17
20414;14,3
20415;13,37
20416;12,15
20417;13,98
20418;14,69
20419;10,44
20421;13,38
20424;12,24
20425;13,94
20428;15,35
20432;10,45
20435;9,78
20441;14,78
20442;13,94
20501;11,15
20502;10,73
20503;9,25
20504;11,87
20505;10,88
20506;8,52
20508;11,04
20509;14,29
20511;8,38
20512;14,39
20513;10,18
20515;12,68
20518;11,12
20519;10,79
20520;9,45
20523;13,83
20527;10,75
20530;10,82
20531;7,58
20534;13,25
20601;12,1
20602;8,82
20603;12,3
20604;8,68
20605;7,29
20607;7,18
20608;9,48
20609;9,39
20610;9,82
20611;9,54
20613;11,65
20616;11,12
20618;10,18
20619;6,78
20620;12
20622;5,88
20624;9,34
20625;9,23
20627;8,85
20630;10,85
20631;7,62
20632;10,74
20633;9,14
20634;11,15
20635;8,63
20636;6,93
20637;9,95
20638;9,87
20639;17,59
20640;9,24
20642;9,39
20643;10,63
20644;9,6
20701;12,62
20702;11,78
20703;10,21
20705;8,05
20707;11,64
20708;12,76
20710;9,78
20711;12,99
20712;9,7
20713;15,15
20719;12,16
20720;9,71
20721;10,98
20722;12,77
20723;9,51
20724;13,57
20725;12,53
20726;12,23
20727;13,58
20801;9,91
20802;12,02
20803;11,61
20804;11,31
20805;10,81
20806;12,59
20807;9,75
20808;10,34
20810;9,02
20812;7,77
20813;12,68
20815;9,45
20817;12,14
20901;9,79
20905;7,33
20909;8,67
20911;6,94
20912;11,66
20913;9,51
20914;7,66
20918;9,85
20923;11,22
