ID;secondary_school
10101;14,75
10201;16,71
10301;16,75
10302;18,74
10303;18,43
10304;18,04
10305;19,47
10306;25,11
10307;21,85
10308;15
10309;15,69
10310;18,9
10311;14,55
10312;17,59
10313;19,38
10314;18,78
10315;16,95
10316;17,19
10317;18,93
10318;18,73
10319;16,95
10320;20,07
10321;18,28
10322;18,64
10323;19,37
10401;19,15
10402;17,27
10403;19,18
10404;18,69
10405;16,84
10406;19,63
10407;17
10408;18,77
10409;19,57
10410;11,79
10411;20,93
10412;19,77
10413;22,1
10414;18,81
10415;19,32
10416;22,51
10417;20,29
10418;19,63
10419;13,81
10420;18,84
10421;18,75
10422;17,32
10423;20
10424;12,12
10425;18,31
10426;22,73
10427;19,92
10428;17,5
10501;18,84
10502;17,08
10503;15,43
10504;17,47
10505;17,05
10506;18,74
10507;18,22
10508;19,98
10509;17,43
10510;18,73
10511;21,65
10512;17,99
10601;18,51
10602;16,9
10603;17,46
10604;15,35
10605;17,62
10606;15,67
10607;15,15
10608;20,98
10609;17,08
10610;15,35
10611;16,03
10612;16,98
10613;17,05
10614;16,69
10615;16,75
10616;16,59
10617;16,08
10618;16,83
10619;17,96
10701;23,29
10702;25,78
10703;16,68
10704;19,53
10705;19,77
10706;19,46
10707;24,15
10708;25,47
10709;26,06
10710;24,54
10711;17,66
10712;21,11
10713;16,06
10714;18,58
10715;18
10716;23,57
10717;18,89
10718;21,66
10719;21,54
10720;17,67
10721;22,96
10722;21,25
10723;16,96
10724;18,49
10725;24,09
10726;16,62
10727;19,44
10801;21,03
10802;22,07
10803;20,03
10804;16,48
10805;18,69
10806;21,45
10807;18,16
10808;20,61
10809;19,47
10810;22,32
10811;21,19
10812;18,52
10813;19,18
10814;19,19
10815;18,55
10816;18,97
10817;22,21
10818;22,01
10819;25,64
10820;19,57
10821;21,97
10822;22,06
10823;20,88
10824;22,87
10825;24,44
10826;20
10827;19,55
10828;27,61
10901;19,34
10902;22,06
10903;19,55
10904;23,43
10905;18,7
10906;19,44
10907;19,41
10908;18,19
10909;20,22
10910;18,61
10911;20,67
10912;18,77
10913;23,22
10914;19,22
10915;21,42
10916;15,3
10917;17,61
10918;14,94
10919;19,97
10920;19,84
10921;19,56
10922;16,92
10923;19,87
10924;24,68
10925;17,37
10926;24,18
10927;21,06
10928;18,55
10929;16
10930;19,14
10931;21,85
10932;25
20101;11,48
20201;12,72
20302;21,14
20305;18,74
20306;20,76
20307;20,17
20316;17,21
20320;18,97
20321;24,6
20402;14,66
20403;15,9
20405;15,85
20409;17,39
20412;13,52
20414;16,42
20415;11,31
20416;14,36
20417;15,83
20418;15,45
20419;12,37
20421;16,72
20424;12,69
20425;19,17
20428;18,72
20432;14,97
20435;15,5
20441;16,35
20442;19,19
20501;12,35
20502;15,7
20503;16,99
20504;19,63
20505;18,66
20506;18,56
20508;19,91
20509;17,7
20511;14,19
20512;15,86
20513;15,15
20515;16,56
20518;22,55
20519;16,27
20520;17,81
20523;16,78
20527;13,33
20530;18,71
20531;18,26
20534;17,77
20601;15,77
20602;16,67
20603;20,2
20604;20,45
20605;19,97
20607;20,31
20608;17,99
20609;18,56
20610;20,04
20611;19,26
20613;22,65
20616;21
20618;21,12
20619;19,05
20620;16,68
20622;18,52
20624;21,87
20625;23,32
20627;17,62
20630;17,5
20631;18,45
20632;21,48
20633;15,55
20634;17,67
20635;14,23
20636;14,34
20637;17,44
20638;19,13
20639;20,85
20640;18,34
20642;20,02
20643;18,76
20644;18,12
20701;18,26
20702;15,12
20703;19,72
20705;14,81
20707;19,18
20708;18,79
20710;19,82
20711;15,46
20712;21,49
20713;17,63
20719;17,33
20720;17,63
20721;15,5
20722;16,97
20723;19,14
20724;15,88
20725;14,91
20726;19,34
20727;14,67
20801;17,94
20802;20,91
20803;18,93
20804;18,37
20805;16,13
20806;18,73
20807;16,32
20808;17,19
20810;21,36
20812;16,37
20813;16,61
20815;18,72
20817;15,59
20901;18,42
20905;16,6
