ID;sector_1
10101;0,9
10201;15,95
10301;8,38
10302;15,5
10303;18,02
10304;2,19
10305;5,46
10306;33,86
10307;19,6
10308;3,15
10309;2,4
10310;27,34
10311;12,02
10312;12,04
10313;13,38
10314;16
10315;1,34
10316;4,14
10317;8,87
10318;6,33
10319;3,44
10320;6,33
10321;25,84
10322;15,12
10323;14,17
10401;14,29
10402;12,5
10403;21,4
10404;24
10405;4,26
10406;7,43
10407;41,96
10408;32,81
10409;17,2
10410;20,9
10411;7,98
10412;3,88
10413;7,92
10414;0,92
10415;0
10416;20,62
10417;26,8
10418;7,55
10419;6,52
10420;31,03
10421;27,78
10422;28,57
10423;25
10424;44,83
10425;32
10426;23,53
10427;26,92
10428;38,64
10501;18,21
10502;22,97
10503;6,72
10504;2,83
10505;14,6
10506;15,38
10507;25
10508;5,25
10509;20,7
10510;36,05
10511;24,22
10512;32,43
10601;3,75
10602;5,13
10603;1,11
10604;9,76
10605;3,59
10606;1,37
10607;0,68
10608;4,48
10609;5,97
10610;1,71
10611;1,02
10612;4,3
10613;6,55
10614;5,26
10615;9,41
10616;20,61
10617;4,55
10618;16,17
10619;23,86
10701;41,67
10702;43,96
10703;0,84
10704;37,14
10705;6,19
10706;23,08
10707;22,47
10708;34,24
10709;22,01
10710;23,54
10711;6,51
10712;19,9
10713;2,39
10714;17,72
10715;42,44
10716;26,12
10717;1,72
10718;16,09
10719;30,27
10720;60,26
10721;39,43
10722;25,37
10723;25,42
10724;20,37
10725;27,39
10726;6,03
10727;24,21
10801;14,3
10802;13,78
10803;20,31
10804;22,13
10805;12,31
10806;4,41
10807;8,84
10808;9,35
10809;6,79
10810;9,7
10811;15,55
10812;7,69
10813;34,27
10814;1,13
10815;27,62
10816;0,69
10817;28,88
10818;14,18
10819;12,95
10820;9,8
10821;2,41
10822;1,41
10823;7,94
10824;16,28
10825;17,7
10826;16,03
10827;33,33
10828;10,17
10901;2,35
10902;8,23
10903;35,24
10904;4,65
10905;3,17
10906;14,56
10907;3,28
10908;11,48
10909;8,03
10910;5,49
10911;16,29
10912;5,85
10913;21,1
10914;29,73
10915;5,63
10916;13,65
10917;0,73
10918;0,56
10919;5,56
10920;4,19
10921;6,83
10922;17,54
10923;7,75
10924;12,04
10925;3,83
10926;32,46
10927;25,86
10928;7,58
10929;9,92
10930;6,25
10931;21,62
10932;26,47
20101;1,18
20201;0,87
