ID;income
10101;50410
10201;43136
10301;52868
10302;45020
10303;51932
10304;46284
10305;45357
10306;44809
10307;41378
10308;50440
10309;47992
10310;45223
10311;50256
10312;47886
10313;46543
10314;45749
10315;45891
10316;48607
10317;51215
10318;46481
10319;47212
10320;47321
10321;43215
10322;49860
10323;46463
10401;37657
10402;39083
10403;41934
10404;39798
10405;43682
10406;44097
10407;41308
10408;41120
10409;41246
10410;39754
10411;43051
10412;42585
10413;43891
10414;43323
10415;46861
10416;40551
10417;40901
10418;40573
10419;42011
10420;44242
10421;37426
10422;40227
10423;39365
10424;40611
10425;37822
10426;39706
10427;43532
10428;39664
10501;39880
10502;40386
10503;40778
10504;40073
10505;37992
10506;38483
10507;39573
10508;41644
10509;40058
10510;39851
10511;40184
10512;37591
10601;45441
10602;44937
10603;45165
10604;41298
10605;44146
10606;43855
10607;43419
10608;46562
10609;47739
10610;42307
10611;46239
10612;45515
10613;43057
10614;45798
10615;44162
10616;43773
10617;45620
10618;43163
10619;43870
10701;39736
10702;42461
10703;46263
10704;44695
10705;42176
10706;44572
10707;44140
10708;44970
10709;44361
10710;48093
10711;43588
10712;43598
10713;50352
10714;43849
10715;45742
10716;40321
10717;41763
10718;47942
10719;46840
10720;45736
10721;40402
10722;51568
10723;43064
10724;43627
10725;44731
10726;41854
10727;49688
10801;43977
10802;44475
10803;42073
10804;44778
10805;45152
10806;43899
10807;42016
10808;44154
10809;42093
10810;40396
10811;44419
10812;46071
10813;44506
10814;44195
10815;44847
10816;41568
10817;43527
10818;40928
10819;42107
10820;46879
10821;44591
10822;42269
10823;44314
10824;42046
10825;41758
10826;40571
10827;41469
10828;41570
10901;43586
10902;44791
10903;42213
10904;43117
10905;42436
10906;44858
10907;42351
10908;42726
10909;39059
10910;37551
10911;42299
10912;44569
10913;41002
10914;41968
10915;41984
10916;43509
10917;42694
10918;41996
10919;41653
10920;40134
10921;41294
10922;45116
10923;42848
10924;45909
10925;40632
10926;42108
10927;38884
10928;39784
10929;43700
10930;42349
10931;38439
10932;44778
20101;45763
20201;44878
20302;39975
20305;40001
20306;37627
20307;38311
20316;44107
20320;38955
20321;35557
20402;42316
20403;42161
20405;43688
20409;41781
20412;48884
20414;44897
20415;56310
20416;47903
20417;48639
20418;48697
20419;60260
20421;45561
20424;53377
20425;44134
20428;46236
20432;44068
20435;43458
20441;42983
20442;44388
20501;42588
20502;40746
20503;38547
20504;41343
20505;43094
20506;44210
20508;38690
20509;42649
20511;39085
20512;41348
20513;40600
20515;42737
20518;41000
20519;37776
20520;43263
20523;45925
20527;41414
20530;40012
20531;40038
20534;47410
20601;42797
20602;40773
20603;38595
20604;41026
20605;41812
20607;43314
20608;38592
20609;40208
20610;41647
20611;39513
20613;44086
20616;41572
20618;43800
20619;40913
20620;46348
20622;40210
20624;39769
20625;38852
20627;42802
20630;40250
20631;45073
20632;40658
20633;40065
20634;44937
20635;40880
20636;44231
20637;38057
20638;41236
20639;41300
20640;42307
20642;39847
20643;42916
20644;43688
20701;42160
20702;42668
20703;38999
20705;41136
20707;41202
20708;43456
20710;42439
20711;46369
20712;39502
20713;47800
20719;45221
20720;40534
20721;45023
20722;44908
20723;40967
20724;47825
20725;44974
20726;47258
20727;47166
20801;41220
20802;42284
20803;41664
20804;36638
20805;41416
20806;41700
20807;40751
20808;40683
20810;39657
20812;42674
20813;41898
20815;40429
20817;43137
20901;40104
20905;40803
20909;40277
20911;37541
20912;41248
20913;40992
20914;41460
20918;41684
20923;43017
21001;38450
21002;40752
21003;43369
21004;39113
21005;39844
21006;47391
21007;36284
21008;41637
21009;43915
21010;38393
30101;44875
30201;43814
30301;42890
30401;43812
30501;42032
30502;42626
30503;42851
30504;42568
30506;45306
30507;42344
30508;43580
30509;46551
30510;40411
30511;39982
30512;41842
30514;43336
30515;47131
30516;38525
30517;39195
30520;42197
30521;38551
30522;44751
30524;38650
30526;37045
30527;42062
30529;45249
30530;44760
30531;45428
30532;43282
30533;41258
30534;41896
30536;40279
30538;43082
30539;43067
30541;44067
30542;43051
30543;39291
30544;41900
30601;48380
30602;47284
30603;48710
30604;51322
30605;43764
30607;49010
30608;48897
30609;43573
30612;44039
30613;56384
30614;55478
30615;41091
30616;45609
30618;46731
30620;43186
30621;44657
30623;56119
30625;57105
30626;46092
30627;43118
30629;46404
30631;48228
30633;46298
30635;48047
30636;50931
30637;47279
30639;45722
30641;48281
30645;43613
30646;43640
30701;42295
30702;42752
30703;43572
30704;45067
30706;46408
30708;49340
30709;45883
30710;43243
30711;51567
30712;45333
30713;47438
30715;42689
30716;44272
30718;49540
30719;45364
30721;45883
30722;48121
30724;45812
30726;46321
30728;48355
30729;44764
30730;45199
30731;46440
30732;49457
30733;41752
30734;49485
30735;56176
30736;48162
30737;47859
30738;46413
30739;43385
30740;43861
30741;48531
30801;44735
30802;48270
30803;44842
30804;46180
30805;44364
30808;48533
30810;44133
30811;43895
30812;45493
30813;42814
30814;43252
30817;45429
30819;41903
30821;49743
30822;39063
30824;44788
30825;44528
30826;40569
30827;42611
30828;43622
30829;47245
30830;42407
30831;47091
30834;44142
30835;41498
30836;41713
30838;44976
30841;41273
30842;43399
30844;43001
30845;43638
30846;44490
30848;46744
30849;44950
30850;43745
30852;46187
30854;41224
30856;46661
30857;42490
30858;45749
30859;44525
30860;46105
30863;43329
30865;42321
30902;39817
30903;40125
30904;34086
30906;35923
30908;41400
30909;38411
30910;38314
30912;37743
30913;38808
30915;34581
30916;38375
30917;40709
30920;42188
30921;37095
30925;37967
30929;39419
