ID;population
10101;15240
10201;1984
10301;1890
10302;1846
10303;2122
10304;3217
10305;1255
10306;1212
10307;2192
10308;1400
10309;3640
10310;1741
10311;1291
10312;2925
10313;2691
10314;1436
10315;3203
10316;2992
10317;2083
10318;1717
10319;1974
10320;501
10321;825
10322;990
10323;1114
10401;804
10402;1327
10403;921
10404;1024
10405;3578
10406;871
10407;743
10408;2012
10409;957
10410;447
10411;1458
10412;921
10413;986
10414;2701
10415;1205
10416;886
10417;1351
10418;363
10419;481
10420;233
10421;330
10422;231
10423;65
10424;224
10425;367
10426;341
10427;454
10428;387
10501;1752
10502;903
10503;1262
10504;4154
10505;1057
10506;1136
10507;917
10508;2165
10509;1956
10510;703
10511;768
10512;385
10601;1244
10602;2802
10603;1037
10604;1194
10605;2111
10606;7558
10607;4853
10608;771
10609;2985
10610;2614
10611;2252
10612;2397
10613;1269
10614;1157
10615;2758
10616;783
10617;912
10618;1255
10619;641
10701;2254
10702;1734
10703;3042
10704;656
10705;2875
10706;1442
10707;3960
10708;1926
10709;2372
10710;1626
10711;3506
10712;2194
10713;8657
10714;1830
10715;1250
10716;1547
10717;5209
10718;2137
10719;1381
10720;1162
10721;1664
10722;2555
10723;1390
10724;2267
10725;735
10726;636
10727;799
10801;3160
10802;1359
10803;1057
10804;1351
10805;1827
10806;606
10807;1896
10808;1154
10809;2017
10810;828
10811;1777
10812;1273
10813;1658
10814;1128
10815;1413
10816;3259
10817;1606
10818;843
10819;895
10820;908
10821;1286
10822;1359
10823;1829
10824;596
10825;653
10826;634
10827;355
10828;797
10901;1628
10902;2079
10903;1079
10904;1243
10905;3560
10906;741
10907;1512
10908;1467
10909;1151
10910;1339
10911;1144
10912;1910
10913;662
10914;1492
10915;997
10916;2457
10917;7723
10918;5915
10919;2987
10920;1639
10921;1447
10922;758
10923;1980
10924;972
10925;967
10926;809
10927;1154
10928;1450
10929;792
10930;752
10931;279
10932;268
20101;102618
20201;64071
20302;1201
20305;6921
20306;2503
20307;3310
20316;1584
20320;1235
20321;1276
20402;8137
20403;2545
20405;7253
20409;3048
20412;2405
20414;3129
20415;3502
20416;1818
20417;2680
20418;3947
20419;1609
20421;4531
20424;2869
20425;3264
20428;1092
20432;2655
20435;2240
20441;597
20442;3650
20501;4702
20502;2719
20503;854
20504;1230
20505;4893
20506;825
20508;1199
20509;1496
20511;1312
20512;1961
20513;1745
20515;3388
20518;1891
20519;993
20520;1338
20523;3564
20527;12232
20530;1998
20531;2008
20534;3550
20601;1664
20602;1835
20603;1237
20604;1583
20605;1316
20607;1187
20608;2534
20609;1721
20610;966
20611;1960
20613;1162
20616;1725
20618;756
20619;1926
20620;3466
20622;818
20624;1000
20625;1176
20627;2204
20630;5752
20631;1698
20632;1724
20633;1369
20634;6608
20635;15151
20636;1481
20637;2021
20638;1160
20639;766
20640;1199
20642;1633
20643;2655
20644;2096
20701;1422
20702;7017
20703;1317
20705;2176
20707;655
20708;1071
20710;2040
20711;9285
20712;1256
20713;872
20719;2319
20720;5815
20721;1891
20722;4261
20723;1589
20724;4616
20725;9151
20726;2940
20727;5592
20801;4127
20802;785
20803;5919
20804;2193
20805;2182
20806;1758
20807;1583
20808;3406
20810;1015
20812;1516
20813;4564
20815;1953
20817;10904
20901;4293
20905;2487
20909;2841
20911;909
20912;1749
20913;9814
20914;1943
20918;3204
20923;25056
21001;1006
21002;14284
21003;1783
21004;1026
21005;2304
21006;872
21007;1765
21008;1515
21009;3753
21010;1582
30101;24921
30201;56360
30301;11092
30401;47106
30501;2186
30502;23653
30503;3595
30504;3781
30506;3496
30507;2307
30508;3188
30509;2286
30510;1235
30511;2701
30512;1827
30514;5680
30515;3691
30516;1678
30517;2691
30520;3048
30521;2153
30522;2032
30524;889
30526;537
30527;2871
30529;2641
30530;5176
30531;9339
30532;3437
30533;3705
30534;2120
30536;1352
30538;2168
30539;2286
30541;1837
30542;2125
30543;3350
30544;1923
30601;2631
30602;2174
30603;12424
30604;25783
30605;8990
30607;11550
30608;4188
30609;874
30612;1733
30613;1545
30614;1552
30615;2545
30616;1705
30618;7388
30620;5118
30621;3059
30623;4943
30625;3518
30626;7457
30627;2887
30629;1723
30631;2110
30633;1559
30635;1015
30636;1423
30637;1771
30639;18761
30641;3753
30645;1744
30646;1927
30701;953
30702;1946
30703;956
30704;8186
30706;3491
30708;1449
30709;2188
30710;6892
30711;2008
30712;1212
30713;1607
30715;636
